,Genus,Species,Assessor_ID,unique_ID,Num.x,WA.x,Age,M,Sources,Age comment ,M comment,Weight comment,Catch,Notes
37,Pleuronectes,quadrituberculatus,AFSC,AFSC_quadrituberculatus_BSAI-Females,1,0,0,0,BSAI Pleuronectes quadrituberculatus.pdf,Didn't look given no W/A data,Didn't look given no W/A data,Provided in a figure so couldn't extract data,,
38,Pleuronectes,quadrituberculatus,AFSC,AFSC_quadrituberculatus_BSAI-males,1,0,0,0,BSAI Pleuronectes quadrituberculatus.pdf,Didn't look given no W/A data,Didn't look given no W/A data,Provided in a figure so couldn't extract data,,
29,Gadus,macrocephalus,AFSC,AFSC_ macrocephalus_BSAI,1,1,3,2,ESB Gadus macrocephalus.pdf + Stark 2007 Fish Bull paper,Calculated from Stark parameters in Table 3,"Table 2.17a has modelled values, Model 17.2",NA,,1 = Table in Assessment Doc
30,Theragra,chalcogramma,AFSC,AFSC_chalcogramma_EBS,1,1,2,2,ESB Theragra chalcogramma.pdf,Table page 69,Table page 69,NA,,2 = Text or non-standard table in Assessment Doc
31,Theragra,chalcogramma,AFSC,AFSC_chalcogramma_GOA,1,1,1,2,GOA Theragra chalcogramma.pdf,Note the assessment uses the avearge from 1983-2017 rather than the time varying. For 1975-1983 I entered the average values,Table 1.24 page 110,NA,,3 = other reference
32,Theragra,chalcogramma,AFSC,AFSC_chalcogramma_AI,1,1,2,2,AI Theragra chalcogrammus.pdf,Page 162 authors state…the assessment uses the average maturity of the Gulf of Alaska pollock stock from 1983-2006,Using M1 (authors preferred model). Table 1A.14 has alternative mortalities that could be explored,NA,,
33,Pleurogrammus,monopterygius,AFSC,AFSC_monopterygius_BSAI,1,1,2,2,BSAI Pleurogrammus monopterygius.pdf,Table 17.9,Table 17.10,NA,,
39,Lepidopsetta,polyxystra,AFSC,AFSC_polyxystra_EEBSAI-Females,1,1,2,2,BSAI Lepidopsetta polyxystra.pdf,Table 8.8,Shown in summary Table at start of document,NA,,
40,Lepidopsetta,polyxystra,AFSC,AFSC_polyxystra_EEBSAI-Males,1,1,2,2,BSAI Lepidopsetta polyxystra.pdf,Table 8.8,Shown in summary Table at start of document,NA,,
41,Limanda,aspera,AFSC,AFSC_ aspera_EEBSAI,1,1,2,2,BSAI Limada aspera.pdf,Table 4.10,Shown in summary Table at start of document,NA,,
27,Gadus,macrocephalus,AFSC,AFSC_macrocephalus_GOA,1,2,2,2,GOA Gadus macrocephalus.pdf,Logistic Model parameters kinda on Page 185 but need to go to Stark 2007 for my parameterization of the model,Shown in summary Table at start of document,"From Table 2.15, using Season 2 as it seems intermediate to the other Season options.",,
28,Gadus,macrocephalus,AFSC,AFSC_macrocephalus_AL to (AI),1,2,2,2,AI Gadus macrocephalus.pdf,"Logistic model parameters are on Page 566, these are same as Bering Sea stock",Shown in summary Table at start of document,From Table 2A.13,,
34,Sebastes,alutus,AFSC,AFSC_alutus_BSAI,1,0,0,2,BSAI Sebastes alutus.pdf,Age-at-Maturity model used but no parrmeters provided,In summary table at the top,Weight at Age used but data not provided,,
35,Atheresthes,stomias,AFSC,AFSC_stomias_BSAI-Females,1,2,2,2,BSAI Atheresthes stomas.pdf,"Age at Maturity from Stark 2011, Stark paper looked at only females (Table 6.7)",In summary table at the top,In a non-standard table (Table 6.7),,
