Species,Year,Month,Size_cm_FL,Stock
POR,1996,3,213,NW
POR,1996,3,144,NW
POR,1996,3,218,NW
POR,1996,3,181,NW
POR,1996,3,140,NW
POR,1996,3,166,NW
POR,1996,3,109,NW
POR,1996,3,104,NW
POR,1996,3,202,NW
POR,1996,3,130,NW
POR,1996,3,135,NW
POR,1996,3,168,NW
POR,1996,3,144,NW
POR,1996,3,190,NW
POR,1996,3,187,NW
POR,1996,3,103,NW
POR,1996,3,196,NW
POR,1996,3,169,NW
POR,1996,3,102,NW
POR,1996,3,220,NW
POR,1996,3,221,NW
POR,1996,3,220,NW
POR,1996,3,133,NW
POR,1996,3,180,NW
POR,1996,3,104,NW
POR,1996,3,184,NW
POR,1996,3,189,NW
POR,1996,3,103,NW
POR,1996,3,194,NW
POR,1996,3,193,NW
POR,1996,3,219,NW
POR,1996,3,217,NW
POR,1996,3,118,NW
POR,1996,3,195,NW
POR,1996,3,153,NW
POR,1996,3,203,NW
POR,1996,3,231,NW
POR,1996,3,179,NW
POR,1996,3,198,NW
POR,1996,3,190,NW
POR,1996,3,205,NW
POR,1996,3,216,NW
POR,1996,3,226,NW
POR,1996,3,194,NW
POR,1996,3,153,NW
POR,1996,3,229,NW
POR,1996,3,189,NW
POR,1996,3,197,NW
POR,1996,3,203,NW
POR,1996,3,149,NW
POR,1996,3,178,NW
POR,1996,3,206,NW
POR,1996,3,119,NW
POR,1996,3,126,NW
POR,1996,3,102,NW
POR,1996,3,120,NW
POR,1996,3,139,NW
POR,1996,3,184,NW
POR,1996,3,121,NW
POR,1996,3,222,NW
POR,1996,3,135,NW
POR,1996,3,173,NW
POR,1996,3,131,NW
POR,1996,3,213,NW
POR,1996,3,184,NW
POR,1996,3,201,NW
POR,1996,3,132,NW
POR,1996,3,218,NW
POR,1996,3,100,NW
POR,1996,3,196,NW
POR,1996,3,206,NW
POR,1996,3,90,NW
POR,1996,3,94,NW
POR,1996,3,212,NW
POR,1996,3,209,NW
POR,1996,3,229,NW
POR,1996,3,125,NW
POR,1996,3,172,NW
POR,1996,3,105,NW
POR,1996,3,141,NW
POR,1996,3,175,NW
POR,1996,3,146,NW
POR,1996,3,143,NW
POR,1996,3,206,NW
POR,1996,3,102,NW
POR,1996,3,123,NW
POR,1996,3,169,NW
POR,1996,3,168,NW
POR,1996,3,199,NW
POR,1996,3,195,NW
POR,1996,3,212,NW
POR,1996,3,189,NW
POR,1996,3,164,NW
POR,1996,3,158,NW
POR,1996,3,168,NW
POR,1996,3,105,NW
POR,1996,3,121,NW
POR,1996,3,129,NW
POR,1996,3,114,NW
POR,1996,3,211,NW
POR,1996,3,147,NW
POR,1996,3,118,NW
POR,1996,3,158,NW
POR,1996,3,122,NW
POR,1996,3,128,NW
POR,1996,1,204,NW
POR,1996,1,209,NW
POR,1996,1,156,NW
POR,1996,1,199,NW
POR,1996,1,159,NW
POR,1996,1,191,NW
POR,1996,1,195,NW
POR,1996,1,199,NW
POR,1996,1,150,NW
POR,1996,1,220,NW
POR,1996,1,208,NW
POR,1996,1,193,NW
POR,1996,1,211,NW
POR,1996,1,168,NW
POR,1996,1,229,NW
POR,1996,1,230,NW
POR,1996,1,221,NW
POR,1996,1,245,NW
POR,1996,1,190,NW
POR,1996,1,225,NW
POR,1996,1,221,NW
POR,1996,1,207,NW
POR,1996,1,195,NW
POR,1996,1,199,NW
POR,1996,1,115,NW
POR,1996,1,113,NW
POR,1996,1,115,NW
POR,1996,1,142,NW
POR,1996,1,136,NW
POR,1996,1,103,NW
POR,1996,1,132,NW
POR,1996,1,124,NW
POR,1996,1,94,NW
POR,1996,1,106,NW
POR,1996,1,144,NW
POR,1996,1,110,NW
POR,1996,1,123,NW
POR,1996,1,101,NW
POR,1996,1,135,NW
POR,1996,1,144,NW
POR,1996,1,130,NW
POR,1996,1,90,NW
POR,1996,1,94,NW
POR,1996,1,133,NW
POR,1996,1,136,NW
POR,1996,1,92,NW
POR,1996,1,135,NW
POR,1996,1,148,NW
POR,1996,3,101,NW
POR,1996,3,119,NW
POR,1996,3,111,NW
POR,1996,3,118,NW
POR,1996,3,134,NW
POR,1996,3,137,NW
POR,1996,3,140,NW
POR,1996,3,119,NW
POR,1996,3,139,NW
POR,1996,3,104,NW
POR,1996,3,166,NW
POR,1996,3,172,NW
POR,1996,3,143,NW
POR,1996,3,132,NW
POR,1996,3,149,NW
POR,1996,3,120,NW
POR,1996,3,133,NW
POR,1996,3,197,NW
POR,1996,3,139,NW
POR,1996,3,178,NW
POR,1996,3,131,NW
POR,1996,3,107,NW
POR,1996,3,162,NW
POR,1996,3,146,NW
POR,1996,3,189,NW
