year,mt,por.kg,N
1961,1924,1924000,48906.96492
1962,3016.549,3016549,76678.9273
1963,6592.879,6592879,167587.1632
1964,9301.968,9301968,236450.6355
1965,5208.027,5208027,132385.028
1966,2150.04,2150040,54652.77072
1967,645.807,645807,16416.03965
1968,1084.434,1084434,27565.68378
1969,1097.323,1097323,27893.31469
1970,925.763,925763,23532.35892
1971,562.639,562639,14301.9573
1972,393.019,393019,9990.315201
1973,361.011,361011,9176.690391
1974,88.258,88258,2243.467209
1975,143.446,143446,3646.314184
1976,472.568,472568,12012.40468
1977,475.23,475230,12080.07117
1978,250.346,250346,6363.650229
1979,469.407,469407,11932.05389
1980,578.833,578833,14713.59939
1981,513.708,513708,13058.15963
1982,338.555,338555,8605.871886
1983,365.857,365857,9299.872903
1984,281.035,281035,7143.746823
1985,355.363,355363,9033.121505
1986,462.457,462457,11755.38892
1987,580.034,580034,14744.12811
1988,554.198,554198,14087.39197
1989,626.859,626859,15934.39248
1990,695.627,695627,17682.43518
1991,1586.158,1586158,40319.21708
1992,2021.241,2021241,51378.77478
1993,1474.859,1474859,37490.06101
1994,1725.552,1725552,43862.53177
1995,1423.734,1423734,36190.49314
1996,1211.69,1211690,30800.45755
1997,1432.285,1432285,36407.8546
1998,1144.327,1144327,29088.12913
1999,1046.534,1046534,26602.28775
2000,988.254,988254,25120.84392
2001,574.229,574229,14596.56838
2002,282.364,282364,7177.529232
2003,163.514,163514,4156.431113
2004,264.143,264143,6714.361973
2005,237.413,237413,6034.900864
2006,216.794,216794,5510.777834
2007,101.382,101382,2577.071683
2008,141.1316675,141131.6675,3587.485193
2009,83.81430402,83814.30402,2130.511032
2010,112.7025017,112702.5017,2864.832275
2011,86.87995655,86879.95655,2208.438143
2012,147.1382602,147138.2602,3740.169298
2013,283.8821092,283882.1092,7216.11869
2014,34.71705831,34717.05831,882.4875014
2015,93.09298007,93092.98007,2366.3696
2016,29.95930137,29959.30137,761.5480775
2017,50.31196432,50311.96432,1278.900974
2018,28.32751448,28327.51448,720.0690005
