"","Management","Area","Order","Family","Genus","Species","Model","Meeting_or_reference","Case","Notes","Stock","G.short","G.Species","Manage.short","LME","Area.broad","Area.long","Area.narrow","Stock.short","Stock.no.species"
"AFSC_AI_Gadus_macrocephalus","AFSC","AI","Gadiformes","Gadidae","Gadus","macrocephalus","Tier 5 model","",NA,"catch data are not by age","AFSC_AI_Gadus_macrocephalus","G.","G. macrocephalus","AFSC","Pacific (Alaska)","AI","Aleutian Islands","","Aleutian Islands  G. macrocephalus","Aleutian Islands "
"AFSC_AI_Theragra_chalcogramma","AFSC","AI","Gadiformes","Gadidae","Theragra","chalcogramma","Model 1.0 AMAK is a variation of the “Stock Assessment Toolbox” model","",NA,"Catch estimated from model (in millions) Catch.15 is 15+","AFSC_AI_Theragra_chalcogramma","T.","T. chalcogramma","AFSC","Pacific (Alaska)","AI","Aleutian Islands","","Aleutian Islands  T. chalcogramma","Aleutian Islands "
"AFSC_BASI-Females_Pleuronectes_quadrituberculatus","AFSC","BSAI-Females","Pleuronectiformes","Pleuronectidae","Pleuronectes","quadrituberculatus","catch-at-age model","Fournier et al. 2012",NA,"catch at age in numbers is a model output; annual landings and discard data are available but not by age","AFSC_BSAI_Pleuronectes_quadrituberculatus","P.","P. quadrituberculatus","AFSC","Pacific (Alaska)","BASI-Females","Bering Sea & AI","","Bering Sea & AI  P. quadrituberculatus","Bering Sea & AI "
"AFSC_BSAI-females_Atheresthes_stomais","AFSC","BSAI-females","Pleuronectiformes","Pleuronectidae","Atheresthes","stomais","ADMB numbers at age MLE","",NA,"Weight at age and number at age data for each sex total biomass vs. female biomass too","AFSC_BSAI_Atheresthes_stomais","A.","A. stomais","AFSC","Pacific (Alaska)","BSAI","Bering Sea & AI","","Bering Sea & AI  A. stomais","Bering Sea & AI "
"AFSC_BSAI_Gadus_macrocephalus","AFSC","BSAI","Gadiformes","Gadidae","Gadus","macrocephalus","","",NA,"Not sure if this is really a unique stock from AI?","AFSC_BSAI_Gadus_macrocephalus","G.","G. macrocephalus","AFSC","Pacific (Alaska)","BSAI","Bering Sea & AI","","Bering Sea & AI  G. macrocephalus","Bering Sea & AI "
"AFSC_BSAI_Pleurogrammus_monopterygius","AFSC","BSAI","Scorpaeniformes ","Hexagrammidae","Pleurogrammus","monopterygius","AMAK (similar to stock synthesis)","Lowe et al. 2002",NA,"Catch is in numbers in millions catch.11 is 11+","AFSC_BSAI_Pleurogrammus_monopterygius","P.","P. monopterygius","AFSC","Pacific (Alaska)","BSAI","Bering Sea & AI","","Bering Sea & AI  P. monopterygius","Bering Sea & AI "
"AFSC_EEBSAI-Females_Lepidopsetta_polyxystra","AFSC","EEBSAI-Females","Pleuronectiformes","Pleuronectidae","Lepidopsetta","polyxystra","separable catch-age analysis","Fournier and Archibald 1982",NA,"Estimated catch numbers at age in millions for each sex","AFSC_EEBSAI_Lepidopsetta_polyxystra","L.","L. polyxystra","AFSC","Pacific (Alaska)","BSAI","Bering Sea & AI","","Bering Sea & AI  L. polyxystra","Bering Sea & AI "
"AFSC_EEBSAI_Limanda_aspera","AFSC","EEBSAI","Pleuronectiformes","Pleuronectidae","Limanda","aspera","separable catch-age analysis SAM","Fournier and Archibald 1982",NA,"Catch-at-age in proportions. CAT.total is in tons.","AFSC_EEBSAI_Limanda_aspera","L.","L. aspera","AFSC","Pacific (Alaska)","BSAI","Bering Sea & AI","","Bering Sea & AI  L. aspera","Bering Sea & AI "
"AFSC_ESB_Theragra_chalcogramma","AFSC","ESB","Gadiformes","Gadidae","Theragra","chalcogramma","Statistical age-structured assessment model like stock synthesis","Fournier and Archibald (1982) Methot 1990",NA,"Catch.10 is 10+ in millions estimated following methods of Kimura (1989) and Dorn (1992). Catch-at-age estimates based on observer data are also available. Catch includes discards. ","AFSC_ESB_Theragra_chalcogramma","T.","T. chalcogramma","AFSC","Pacific (Alaska)","ESB","Bering Sea","","Bering Sea  T. chalcogramma","Bering Sea "
"AFSC_GOA_Gadus_macrocephalus","AFSC","GOA","Gadiformes","Gadidae","Gadus","macrocephalus","Stock Synthesis v3.24S 4 variations on model","Methot and Wetzel 2013; Methot 2013",NA,"catch-at-length available. Discards are included in catch data","AFSC_GOA_Gadus_macrocephalus","G.","G. macrocephalus","AFSC","Pacific (Alaska)","GOA","Gulf of Alaska","","Gulf of Alaska  G. macrocephalus","Gulf of Alaska "
