"","Management","Area","Order","Family","Genus","Species","Model","Meeting_or_reference","Case","Notes","Stock","age.min","age.max","G.short","G.Species","Manage.short","LME","Area.broad","Area.long","Area.narrow","Stock.short","Stock.no.species"
"AFSC_AI_Gadus_chalcogrammus","AFSC","AI","Gadiformes","Gadidae","Gadus","chalcogrammus","Model 1.0 AMAK is a variation of the “Stock Assessment Toolbox” model","",NA,"Catch estimated from model (in millions) Catch.15 is 15+","AFSC_AI_Gadus_chalcogrammus",1,15,"G.","G. chalcogrammus","AFSC","Pacific (Alaska)","AI","Aleutian Islands","","AI  G. chalcogrammus","Aleutian Islands "
"AFSC_AI_Gadus_macrocephalus","AFSC","AI","Gadiformes","Gadidae","Gadus","macrocephalus","Tier 5 model","",NA,"catch data are not by age","AFSC_AI_Gadus_macrocephalus",0,20,"G.","G. macrocephalus","AFSC","Pacific (Alaska)","AI","Aleutian Islands","","AI  G. macrocephalus","Aleutian Islands "
"AFSC_BASI-Females_Pleuronectes_quadrituberculatus","AFSC","BSAI","Pleuronectiformes","Pleuronectidae","Pleuronectes","quadrituberculatus","catch-at-age model","Fournier et al. 2012",NA,"catch at age in numbers is a model output; annual landings and discard data are available but not by age","AFSC_BSAI_Pleuronectes_quadrituberculatus",3,25,"P.","P. quadrituberculatus","AFSC","Pacific (Alaska)","BSAI","Bering Sea & AI","","BSAI  P. quadrituberculatus","Bering Sea & AI "
"AFSC_BSAI-females_Atheresthes_stomais","AFSC","BSAI","Pleuronectiformes","Pleuronectidae","Atheresthes","stomais","ADMB numbers at age MLE","",NA,"Weight at age and number at age data for each sex total biomass vs. female biomass too","AFSC_BSAI_Atheresthes_stomais",1,21,"A.","A. stomais","AFSC","Pacific (Alaska)","BSAI","Bering Sea & AI","","BSAI  A. stomais","Bering Sea & AI "
"AFSC_BSAI_Gadus_macrocephalus","AFSC","BSAI","Gadiformes","Gadidae","Gadus","macrocephalus","","",NA,"Not sure if this is really a unique stock from AI?","AFSC_BSAI_Gadus_macrocephalus",0,20,"G.","G. macrocephalus","AFSC","Pacific (Alaska)","BSAI","Bering Sea & AI","","BSAI  G. macrocephalus","Bering Sea & AI "
"AFSC_BSAI_Pleurogrammus_monopterygius","AFSC","BSAI","Scorpaeniformes ","Hexagrammidae","Pleurogrammus","monopterygius","AMAK (similar to stock synthesis)","Lowe et al. 2002",NA,"Catch is in numbers in millions catch.11 is 11+","AFSC_BSAI_Pleurogrammus_monopterygius",1,11,"P.","P. monopterygius","AFSC","Pacific (Alaska)","BSAI","Bering Sea & AI","","BSAI  P. monopterygius","Bering Sea & AI "
"AFSC_EEBSAI-Females_Lepidopsetta_polyxystra","AFSC","BSAI","Pleuronectiformes","Pleuronectidae","Lepidopsetta","polyxystra","separable catch-age analysis","Fournier and Archibald 1982",NA,"Estimated catch numbers at age in millions for each sex","AFSC_EEBSAI_Lepidopsetta_polyxystra",1,20,"L.","L. polyxystra","AFSC","Pacific (Alaska)","BSAI","Bering Sea & AI","","BSAI  L. polyxystra","Bering Sea & AI "
"AFSC_EEBSAI_Limanda_aspera","AFSC","EEBSAI","Pleuronectiformes","Pleuronectidae","Limanda","aspera","separable catch-age analysis SAM","Fournier and Archibald 1982",NA,"Catch-at-age in proportions. CAT.total is in tons.","AFSC_EEBSAI_Limanda_aspera",1,20,"L.","L. aspera","AFSC","Pacific (Alaska)","BSAI","Bering Sea & AI","","BSAI  L. aspera","Bering Sea & AI "
"AFSC_ESB_Gadus_chalcogrammus","AFSC","ESB","Gadiformes","Gadidae","Gadus","chalcogrammus","Statistical age-structured assessment model like stock synthesis","Fournier and Archibald (1982) Methot 1990",NA,"Catch.10 is 10+ in millions estimated following methods of Kimura (1989) and Dorn (1992). Catch-at-age estimates based on observer data are also available. Catch includes discards. ","AFSC_ESB_Gadus_chalcogrammus",1,10,"G.","G. chalcogrammus","AFSC","Pacific (Alaska)","ESB","Bering Sea & AI","","ESB  G. chalcogrammus","Bering Sea & AI "
"AFSC_GOA_Gadus_chalcogrammus","AFSC","GOA","Gadiformes","Gadidae","Gadus","chalcogrammus","age-structured assessment model (ADMB)","Francis 2011 Fournier and Archibald 1982 Deriso et al 1985 Hilborn and Walters 1992",NA,"Catch-at-age is estimated and is in millions. Total catch included discards","AFSC_GOA_Gadus_chalcogrammus",1,10,"G.","G. chalcogrammus","AFSC","Pacific (Alaska)","GOA","Gulf of Alaska","","GOA  G. chalcogrammus","Gulf of Alaska "
"AFSC_GOA_Gadus_macrocephalus","AFSC","GOA","Gadiformes","Gadidae","Gadus","macrocephalus","Stock Synthesis v3.24S 4 variations on model","Methot and Wetzel 2013; Methot 2013",NA,"catch-at-length available. Discards are included in catch data","AFSC_GOA_Gadus_macrocephalus",0,19,"G.","G. macrocephalus","AFSC","Pacific (Alaska)","GOA","Gulf of Alaska","","GOA  G. macrocephalus","Gulf of Alaska "
"CERT-TRAC_GB_Melanogrammus_Aeglefinus","CERT-TRAC","GB","Gadiformes","Gadidae","Melanogrammus","aeglefinus","ADAPT VPA","Gavaris 1988 Gavaris and Van Eeckhoute 1998",NA,"Includes discards. In thousands. Catch.9 is 9+","CERT-TRAC_GB_Melanogrammus_Aeglefinus",1,9,"M.","M. aeglefinus","DFO-TRAC","NW Atlantic","NAFO 5-6","NAFO 5-6","GB","NAFO 5-6 GB M. aeglefinus","NAFO 5-6 GB"
"DFO_2J3KL_Gadus_morhua","DFO","2J3KL","Gadiformes","Gadidae","Gadus","morhua","NCAM","Cadigan 2015 2016",NA,"","DFO_2J3KL_Gadus_morhua",2,11,"G.","G. morhua","DFO-TRAC","NW Atlantic","NAFO 2-4","NAFO 2-4","NFLD","NAFO 2-4 NFLD G. morhua","NAFO 2-4 NFLD"
"DFO_3Pn-4RS_Gadus_morhua","DFO","3Pn-4RS","Gadiformes","Gadidae","Gadus","morhua","sequential population analysis (SPA) was conducted using the ADAPT NFT program (VPA/ADAPT version 3.4.5 NOAA Fisheries Toolbox 2014)","https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40759520.pdf",NA,"Commercial fisheries catch-at-age (000's). Commercial only","DFO_3Pn-4RS_Gadus_morhua",3,13,"G.","G. morhua","DFO-TRAC","NW Atlantic","NAFO 2-4","NAFO 2-4","NGSL","NAFO 2-4 NGSL G. morhua","NAFO 2-4 NGSL"
"DFO_4T-4VN_Gadus_morhua","DFO","4T-4VN","Gadiformes","Gadidae","Gadus","morhua","SCA used in 2019 but previously used VPA","Swain et al. 2015b",NA,"Catch.12 is 12+. Landings at age (numbers 1000s) of southern Gulf of St. Lawrence Atlantic Cod 1971 to 2018. The table includes landings in 4T 4Vn (Nov.-Apr.) and 4Vs (Jan.-Apr.). Data for 2017 and 2018 are preliminary. Calculated using keys. Includes discards and multiple fleets","DFO_4T-4VN_Gadus_morhua",2,12,"G.","G. morhua","DFO-TRAC","NW Atlantic","NAFO 2-4","NAFO 2-4","SGSL","NAFO 2-4 SGSL G. morhua","NAFO 2-4 SGSL"
