"","Scenario","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070"
"1",0,0.31,0.66,0.9,1,1,1,1,1,1,1,1
"2",1000,0.38,0.645,0.9,0.99,1,1,1,1,1,1,1
"3",2000,0.315,0.59,0.83,0.955,0.995,0.995,0.995,1,1,1,1
"4",3000,0.345,0.605,0.79,0.91,0.975,1,1,1,1,1,1
"5",4000,0.33,0.59,0.73,0.875,0.935,0.98,0.995,0.995,0.995,0.995,0.995
"6",5000,0.28,0.54,0.685,0.8,0.875,0.925,0.95,0.975,0.99,0.995,0.995
"7",6000,0.325,0.51,0.66,0.775,0.84,0.88,0.9,0.925,0.93,0.94,0.98
"8",7000,0.27,0.53,0.62,0.695,0.8,0.825,0.84,0.855,0.88,0.895,0.895
"9",8000,0.285,0.51,0.61,0.685,0.72,0.775,0.805,0.81,0.835,0.84,0.845
"10",9000,0.315,0.46,0.575,0.64,0.68,0.73,0.735,0.775,0.795,0.82,0.82
"11",10000,0.325,0.48,0.575,0.62,0.66,0.675,0.685,0.72,0.745,0.755,0.76
"12",11000,0.38,0.47,0.535,0.59,0.625,0.66,0.665,0.675,0.68,0.69,0.695
"13",12000,0.31,0.415,0.5,0.555,0.59,0.605,0.615,0.62,0.635,0.635,0.645
"14",13000,0.315,0.38,0.445,0.51,0.525,0.54,0.565,0.565,0.58,0.595,0.605
"15",14000,0.275,0.335,0.415,0.44,0.47,0.49,0.505,0.505,0.515,0.525,0.525
"16",15000,0.31,0.37,0.42,0.43,0.445,0.46,0.47,0.47,0.48,0.48,0.49
"17",16000,0.395,0.41,0.425,0.425,0.43,0.435,0.44,0.45,0.455,0.455,0.455
"18",17000,0.285,0.31,0.31,0.33,0.33,0.325,0.325,0.325,0.33,0.33,0.345
"19",18000,0.28,0.285,0.29,0.3,0.305,0.295,0.3,0.3,0.3,0.3,0.295
"20",19000,0.38,0.355,0.335,0.32,0.31,0.305,0.3,0.3,0.295,0.295,0.295
"21",20000,0.345,0.315,0.29,0.265,0.255,0.255,0.255,0.255,0.25,0.24,0.235
"22",21000,0.28,0.235,0.225,0.225,0.21,0.205,0.205,0.195,0.195,0.19,0.185
"23",22000,0.37,0.28,0.235,0.215,0.205,0.195,0.195,0.18,0.18,0.18,0.18
"24",23000,0.35,0.255,0.215,0.19,0.18,0.17,0.165,0.155,0.145,0.135,0.13
"25",24000,0.305,0.195,0.165,0.135,0.11,0.105,0.095,0.095,0.095,0.095,0.095
